State_Name,District_Name,Crop_Year,Season,Area (Hectare),Production (Tonnes),yield (Tonne/Hectare)
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,1.0,2.0,2.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,1.0,1.0,1.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,5.0,40.0,8.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,0.2,0.5,2.5
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,13.4,41.75,3.115671642
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,141.0,3736.0,26.4964539
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,81.0,2379.0,29.37037037
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,71.3,1500.0,21.03786816
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,73.33,889.2,12.12600573
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,455.0,13760.0,30.24175824
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,268.0,2879.52,10.74447761
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,145.26,1560.0,10.7393639
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,128.02,2448.2,19.12357444
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,53.5,999.5,18.68224299
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,67.5,402.0,5.955555556
Andhra Pradesh,ANANTAPUR,1997,Kharif,700.0,72900.0,104.1428571
Andhra Pradesh,ANANTAPUR,1998,Whole Year,700.0,65900.0,94.14285714
Andhra Pradesh,ANANTAPUR,1999,Whole Year,884.0,83126.0,94.03393665
Andhra Pradesh,ANANTAPUR,2000,Whole Year,284.0,25395.0,89.41901408
Andhra Pradesh,ANANTAPUR,2001,Whole Year,490.0,42470.0,86.67346939
Andhra Pradesh,ANANTAPUR,2002,Whole Year,329.0,22481.0,68.33130699
Andhra Pradesh,ANANTAPUR,2003,Whole Year,454.0,32386.0,71.33480176
Andhra Pradesh,ANANTAPUR,2004,Whole Year,400.0,34072.0,85.18
Andhra Pradesh,ANANTAPUR,2005,Whole Year,227.0,20612.0,90.80176211
