SlNo,District_Name,Kharif_Area_Before_Bund_Correction_Ha,Kharif_Area_After_Bund_Correction_Ha,Kharif_Yield,Kharif_Production,Rabi_Area_Before_Bund_Correction_Ha,Rabi_Area_After_Bund_Correction_Ha,Rabi_Yield,Rabi_Production,Summer_Area_Before_Bund_Correction_Ha,Summer_Area_After_Bund_Correction_Ha,Summer_Yield,Summer_Production,All_Seasons_Area_Before_Bund_Correction_Ha,All_Seasons_Area_After_Bund_Correction_Ha,All_Seasons_Yield,All_Seasons_Production
1,Bagalkote,109357,107170,86,9216637,0,0,0,0,0,0,0,0,109357,107170,86,9216637
2,Bengaluru - Urban,30,29,96,2822,0,0,0,0,0,0,0,0,30,29,96,2822
3,Bengaluru - Rural,119,117,96,11196,0,0,0,0,0,0,0,0,119,117,96,11196
4,Belagavi,277275,271730,96,26086055,0,0,0,0,0,0,0,0,277275,271730,96,26086055
5,Ballari,9957,9758,96,936783,0,0,0,0,0,0,0,0,9957,9758,96,936783
6,Bidar,15940,15621,88,1374664,0,0,0,0,0,0,0,0,15940,15621,88,1374664
7,Vijayapura,79625,78033,101,7881283,0,0,0,0,0,0,0,0,79625,78033,101,7881283
8,Chamarajanagar,10476,10266,94,965049,0,0,0,0,0,0,0,0,10476,10266,94,965049
9,Chickballapur,155,152,96,14582,0,0,0,0,0,0,0,0,155,152,96,14582
10,Chikmagalur,227,222,101,22468,0,0,0,0,0,0,0,0,227,222,101,22468
11,Chitradurga,61,60,96,5739,0,0,0,0,0,0,0,0,61,60,96,5739
12,Dakshina Kannada,4,4,96,376,0,0,0,0,0,0,0,0,4,4,96,376
13,Davanagere,1337,1310,108,141508,0,0,0,0,0,0,0,0,1337,1310,108,141508
14,Dharwad,8426,8258,92,759723,0,0,0,0,0,0,0,0,8426,8258,92,759723
15,Gadag,2143,2100,42,88218,0,0,0,0,0,0,0,0,2143,2100,42,88218
16,Kalburgi,46050,45129,96,4332426,0,0,0,0,0,0,0,0,46050,45129,96,4332426
17,Hassan,3492,3422,92,314801,0,0,0,0,0,0,0,0,3492,3422,92,314801
18,Haveri,11202,10978,87,955062,0,0,0,0,0,0,0,0,11202,10978,87,955062
19,Kodagu,1,1,96,107,0,0,0,0,0,0,0,0,1,1,96,107
20,Kolar,11,11,96,1035,0,0,0,0,0,0,0,0,11,11,96,1035
21,Koppal,2094,2052,96,196966,0,0,0,0,0,0,0,0,2094,2052,96,196966
22,Mandya,41221,40397,118,4766810,0,0,0,0,0,0,0,0,41221,40397,118,4766810
23,Mysuru,15019,14719,113,1663192,0,0,0,0,0,0,0,0,15019,14719,113,1663192
24,Raichur,1400,1372,96,131707,0,0,0,0,0,0,0,0,1400,1372,96,131707
25,Ramanagaram,292,286,65,18571,0,0,0,0,0,0,0,0,292,286,65,18571
26,Shivamogga,820,804,136,109290,0,0,0,0,0,0,0,0,820,804,136,109290
27,Tumakuru,458,449,104,46644,0,0,0,0,0,0,0,0,458,449,104,46644
28,Udupi,13,13,96,1217,0,0,0,0,0,0,0,0,13,13,96,1217
29,Uttara Kannada,11914,11676,92,1074190,0,0,0,0,0,0,0,0,11914,11676,92,1074190
30,Yadgir,880,862,96,82765,0,0,0,0,0,0,0,0,880,862,96,82765
,State Total,649999,636999,96,61201885,0,0,0,0,0,0,0,0,649999,636999,96,61201885
