system_index,latitude,longitude,ndvi,region
0,15.662171894388065,74.38099959850264,0.778039,Belagavi
1,15.662171894388065,74.38117926155947,0.7924866,Belagavi
2,15.662171894388065,74.38225723990041,0.7338642,Belagavi
3,15.662171894388065,74.38234707142882,0.75334686,Belagavi
4,15.662171894388065,74.38270639754248,0.70239747,Belagavi
5,15.662171894388065,74.38288606059929,0.74977267,Belagavi
6,15.662171894388065,74.38558100645166,0.7252356,Belagavi
7,15.662171894388065,74.38576066950847,0.7052174,Belagavi
8,15.662171894388065,74.38692847937783,0.71995866,Belagavi
9,15.662171894388065,74.3896234252302,0.6885215,Belagavi
10,15.662171894388065,74.39106072968478,0.700022,Belagavi
11,15.662171894388065,74.39124039274161,0.78061056,Belagavi
12,15.662171894388065,74.39186921344049,0.64625853,Belagavi
13,15.662171894388065,74.39294719178143,0.66302836,Belagavi
14,15.662171894388065,74.3933963494235,0.68832576,Belagavi
15,15.662171894388065,74.39384550706555,0.65587044,Belagavi
16,15.662171894388065,74.39447432776444,0.56349546,Belagavi
17,15.662171894388065,74.39456415929286,0.5398079,Belagavi
18,15.662171894388065,74.39627095833268,0.47676656,Belagavi
19,15.662171894388065,74.39663028444632,0.5704745,Belagavi
20,15.662171894388065,74.39707944208838,0.42420602,Belagavi
21,15.662171894388065,74.39752859973045,0.4110964,Belagavi
22,15.662171894388065,74.39914556724186,0.57469404,Belagavi
23,15.662171894388065,74.39959472488391,0.5937888,Belagavi
24,15.662171894388065,74.40219983920787,0.6939343,Belagavi
25,15.662171894388065,74.40327781754881,0.70212764,Belagavi
26,15.662171894388065,74.40561343728751,0.5803624,Belagavi
27,15.662171894388065,74.40606259492958,0.69381106,Belagavi
28,15.662171894388065,74.40642192104323,0.54651576,Belagavi
29,15.662171894388065,74.40651175257165,0.5153106,Belagavi
30,15.662171894388065,74.40767956244099,0.6596815,Belagavi
31,15.662171894388065,74.4077693939694,0.6596815,Belagavi
32,15.662171894388065,74.40929652995241,0.5303644,Belagavi
33,15.662171894388065,74.40956602453764,0.3920757,Belagavi
34,15.662171894388065,74.40965585606605,0.43076017,Belagavi
35,15.662171894388065,74.41028467676495,0.38972467,Belagavi
36,15.662261725916474,74.38010128321852,0.34287617,Belagavi
37,15.662261725916474,74.38019111474694,0.33197695,Belagavi
38,15.662261725916474,74.38046060933218,0.41013134,Belagavi
39,15.662261725916474,74.38073010391741,0.7398735,Belagavi
40,15.662261725916474,74.38117926155947,0.78413045,Belagavi
41,15.662261725916474,74.3813589246163,0.80892944,Belagavi
42,15.662261725916474,74.38198774531517,0.76666665,Belagavi
43,15.662261725916474,74.3829758921277,0.74744415,Belagavi
44,15.662261725916474,74.38306572365612,0.7442177,Belagavi
45,15.662261725916474,74.38342504976977,0.76203966,Belagavi
46,15.662261725916474,74.38764713160514,0.6720345,Belagavi
47,15.662261725916474,74.38998275134384,0.5989414,Belagavi
48,15.662261725916474,74.39070140357113,0.74489796,Belagavi
49,15.662261725916474,74.39079123509954,0.76605165,Belagavi
50,15.662261725916474,74.39159971885526,0.6761327,Belagavi
51,15.662261725916474,74.39213870802573,0.6611889,Belagavi
52,15.662261725916474,74.3927675287246,0.6476209,Belagavi
53,15.662261725916474,74.39465399082125,0.50793976,Belagavi
54,15.662261725916474,74.39483365387808,0.5315162,Belagavi
55,15.662261725916474,74.39501331693491,0.5615639,Belagavi
56,15.662261725916474,74.39510314846332,0.4754927,Belagavi
57,15.662261725916474,74.39654045291792,0.5352443,Belagavi
58,15.662261725916474,74.39663028444632,0.5361794,Belagavi
59,15.662261725916474,74.39743876820204,0.3600144,Belagavi
60,15.662261725916474,74.39896590418503,0.6183901,Belagavi
61,15.662261725916474,74.39977438794074,0.4739454,Belagavi
62,15.662261725916474,74.40714057327052,0.50809675,Belagavi
63,15.662261725916474,74.40749989938418,0.65010184,Belagavi
64,15.662261725916474,74.40812872008306,0.5438067,Belagavi
65,15.662261725916474,74.40902703536717,0.6200942,Belagavi
66,15.662261725916474,74.4100151821797,0.3052604,Belagavi
67,15.662261725916474,74.41028467676495,0.40245363,Belagavi
68,15.662351557444888,74.38073010391741,0.6988821,Belagavi
69,15.662351557444888,74.3813589246163,0.7841044,Belagavi
70,15.662351557444888,74.38288606059929,0.73279816,Belagavi
71,15.662351557444888,74.38387420741182,0.7024894,Belagavi
72,15.662351557444888,74.38432336505389,0.6135519,Belagavi
73,15.662351557444888,74.38531151186642,0.76999813,Belagavi
74,15.662351557444888,74.3881861207756,0.73640084,Belagavi
75,15.662351557444888,74.38917426758813,0.6588599,Belagavi
76,15.662351557444888,74.3896234252302,0.6807904,Belagavi
77,15.662351557444888,74.38998275134384,0.6610758,Belagavi
78,15.662351557444888,74.39088106662795,0.7219444,Belagavi
79,15.662351557444888,74.39106072968478,0.74220455,Belagavi
