temparature,humidity,moisture,soil_type,crop_type,nitrogen,potassium,phosphorous,fertilizer_name
29.0,52.0,45.0,Loamy,Sugarcane,12,0,36,DAP
31.0,62.0,49.0,Black,Sugarcane,10,13,14,17-17-17
34.0,65.0,53.0,Loamy,Sugarcane,12,14,12,17-17-17
32.0,62.0,30.0,Loamy,Sugarcane,38,0,0,Urea
30.0,60.0,27.0,Loamy,Sugarcane,12,0,40,DAP
30.0,60.0,58.0,Loamy,Sugarcane,10,7,32,14-35-14
34.0,65.0,60.0,Black,Sugarcane,35,0,0,Urea
25.0,50.0,56.0,Loamy,Sugarcane,11,13,15,17-17-17
34.0,65.0,57.0,Black,Sugarcane,9,0,13,20-20
29.0,58.0,55.0,Loamy,Sugarcane,8,8,33,14-35-14
27.0,53.0,59.0,Loamy,Sugarcane,10,0,15,20-20
26.0,52.0,59.0,Loamy,Sugarcane,11,0,9,20-20
29.0,58.0,57.0,Black,Sugarcane,12,0,10,20-20
23.63,52.62,31.03,Clayey,Sugarcane,12,13,13,14-35-14
29.44,59.34,55.51,Loamy,Sugarcane,10,3,31,17-17-17
38.42,73.97,50.41,Loamy,Sugarcane,11,1,36,DAP
23.59,55.82,62.92,Red,Sugarcane,39,0,0,Urea
34.51,63.92,70.0,Loamy,Sugarcane,14,0,35,17-17-17
28.43,58.72,43.9,Sandy,Sugarcane,13,16,11,20-20
27.84,66.53,36.89,Loamy,Sugarcane,7,11,20,Urea
30.08,73.84,41.22,Sandy,Sugarcane,1,14,22,10-26-26
31.68,62.14,42.55,Black,Sugarcane,17,0,31,17-17-17
26.67,47.94,34.08,Black,Sugarcane,13,0,8,DAP
30.64,65.77,32.86,Clayey,Sugarcane,24,0,17,17-17-17
37.09,63.72,47.99,Red,Sugarcane,39,2,0,17-17-17
27.69,55.55,27.9,Red,Sugarcane,26,2,22,20-20
29.67,58.75,40.69,Sandy,Sugarcane,35,0,0,Urea
36.35,61.89,65.38,Black,Sugarcane,39,0,0,DAP
32.46,68.2,64.77,Sandy,Sugarcane,11,0,9,14-35-14
29.55,45.99,50.06,Red,Sugarcane,9,4,10,10-26-26
28.02,54.85,55.71,Sandy,Sugarcane,10,9,18,20-20
28.66,56.26,39.29,Black,Sugarcane,37,0,1,DAP
29.95,61.75,36.58,Black,Sugarcane,37,0,0,28-28
40.0,77.61,29.53,Loamy,Sugarcane,7,4,45,10-26-26
32.69,69.21,22.19,Black,Sugarcane,4,10,26,20-20
29.63,45.37,21.76,Black,Sugarcane,14,0,11,28-28
35.12,61.28,35.3,Red,Sugarcane,11,0,36,Urea
