district,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,20.7,18.7,18.9,20.5,20.5,20.5,20.2,19.9,19.9,19.4,18.5,18.2,18.5,18.5,23.9,21.8,17.7,17.2,19.2,21.0,18.0,14.9,13.1,12.1,15.4,17.3,19.0,9.4,8.8,14.1,13.6,17.5,15.6,15.3,15.5,15.7,14.2,13.8,14.9,19.8,20.4,10.9,10.3,15.3,16.0,16.2,13.0,18.1,16.5,16.8,17.4,16.6,19.9,17.3,16.5
Pathankot,3.5,2.7,4.3,4.2,4.1,2.9,3.1,2.7,2.7,1.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amritsar,6.3,6.0,6.3,6.2,6.2,4.2,4.2,4.5,4.5,2.0,2.8,2.8,4.4,4.4,6.2,5.0,4.6,6.5,10.0,10.6,10.5,8.9,8.3,8.7,11.1,17.0,10.8,5.5,6.6,6.4,6.2,5.0,4.6,4.6,5.3,5.1,5.2,5.7,7.0,9.3,9.8,6.3,7.7,10.0,11.1,11.5,10.7,10.5,9.4,8.5,10.1,11.3,15.1,14.9,14.4
Tarn Taran,0.3,0.4,0.0,0.0,0.1,0.1,0.5,0.5,0.5,0.5,0.0,0.3,0.5,0.5,0.9,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapurthala,3.4,3.8,3.9,4.3,4.3,4.1,9.1,4.1,4.1,3.6,3.3,2.8,3.4,3.4,3.9,4.7,4.3,4.8,5.9,6.5,5.9,5.1,4.1,3.8,5.0,7.3,12.6,3.0,2.2,3.9,2.3,2.8,3.6,2.8,2.6,2.4,1.9,2.0,2.2,2.6,2.7,1.8,1.7,2.5,2.9,3.2,2.5,2.5,2.5,3.1,3.1,3.3,4.1,4.3,4.1
Jalandhar,9.6,10.0,10.0,10.7,10.9,10.4,10.8,10.0,10.0,9.7,9.0,8.6,9.4,9.4,13.2,12.1,11.0,11.2,15.1,17.5,16.1,14.7,13.5,13.2,14.4,23.1,26.8,18.9,19.0,26.1,24.9,23.6,22.7,19.7,18.4,18.0,12.2,13.0,12.8,16.2,15.7,10.9,11.6,15.5,17.2,16.8,17.0,18.7,14.4,13.0,12.9,16.8,19.2,19.8,18.4
SBS Nagar,5.7,5.6,5.7,5.7,5.6,5.6,6.0,6.0,6.0,5.4,5.5,5.2,6.0,6.0,8.6,8.0,6.8,6.7,10.1,11.8,12.2,11.7,11.7,11.2,1.3,16.1,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoshiarpur,24.2,24.8,24.2,22.4,22.4,22.4,22.0,21.1,21.1,19.0,19.6,16.2,18.4,18.4,26.1,23.9,20.5,17.8,21.7,24.5,20.2,16.7,14.1,11.7,1.2,18.8,15.8,10.3,8.9,14.5,13.8,12.7,11.8,8.6,9.0,7.7,6.0,5.4,5.1,6.3,6.0,3.7,3.5,5.3,5.6,5.4,5.2,5.1,4.7,3.1,2.2,2.8,4.2,3.9,3.0
Rupnagar,2.2,2.3,2.2,3.1,2.6,2.6,2.3,2.4,2.4,2.6,2.4,2.2,3.0,3.0,3.8,3.8,3.4,3.7,6.9,9.1,10.2,8.9,8.8,8.7,10.1,12.1,8.0,10.6,10.5,10.9,10.4,10.5,10.9,10.0,11.3,10.1,9.0,8.6,8.0,8.0,7.4,8.1,9.6,10.3,10.0,9.2,8.4,8.5,6.1,5.2,4.1,7.7,5.8,5.8,6.3
SAS Nagar,1.8,1.2,1.1,1.1,1.1,1.1,1.1,1.0,1.0,0.9,0.9,0.9,1.1,1.1,1.4,1.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ludhiana,2.6,2.0,2.6,2.8,2.4,2.4,2.5,2.3,2.3,2.4,1.9,1.8,1.5,1.5,2.6,1.6,1.6,2.6,5.2,7.8,7.9,6.6,5.8,5.2,8.0,11.1,7.2,4.1,3.2,8.3,8.2,7.5,7.3,7.2,8.1,6.9,4.7,4.7,5.2,6.2,6.2,5.1,5.4,8.2,8.6,8.3,9.2,11.3,8.4,7.2,6.5,8.4,10.1,12.4,10.8
Ferozpur,0.1,0.08,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.0,0.9,1.2,1.2,1.6,1.6,1.4,2.4,5.7,9.5,8.9,7.6,7.8,7.4,8.5,10.8,10.8,3.9,3.9,6.1,7.1,5.0,4.6,6.3,7.8,6.0,3.0,2.5,2.8,4.3,4.5,1.4,1.4,2.3,3.0,3.2,3.6,3.3,3.5,3.3,7.4,10.4,14.0,12.5,9.9
