s.no,district,average_yield_of_sugarcane_(in_tonnes/ha)
2,Kancheepuram,103.0
3,Tiruvallur,83.0
4,Cuddalore,117.0
5,Villupuram,102.0
6,Vellore,99.0
7,Tiruvannamalai,93.0
8,Salem,95.0
9,Namakkal,117.0
10,Dharmapuri,92.0
11,Krishnagiri,103.0
12,Coimbatore,103.0
13,Tiruppur,135.0
14,Erode,129.0
15,Tiruchirappalli,81.0
16,Karur,101.0
17,Perambalur,80.0
18,Ariyalur,86.0
19,Pudukkottai,88.0
20,Thanjavur,94.0
21,Tiruvarur,103.0
22,Nagapattinam,103.0
23,Madurai,80.0
24,Theni,121.0
25,Dindigul,115.0
26,Ramanathapuram,103.0
27,Virudhunagar,108.0
28,Sivaganga,48.0
29,Tirunelveli,103.0
30,Thoothukudi,103.0
31,The Nilgiris,103.0
32,Kanniyakumari,103.0
33,State,103.0
