date,farm_id,district,latitude,longitude,altitude,rotun,plant_age,total_stalk,height_stalk,stalk_diameter,stalk_weight,temperature,presipitasi,relative_humidity,light_intensity,ndvi_s2,gndvi_s2,ndwi_s2,rvi_s2,dvi_s2,evi_s2,savi_s2,wdrvi_s2,ndvi_l9,gndvi_l9,ndwi_l9,rvi_l9,dvi_l9,evi_l9,savi_l9,wdrvi_l9,ndvi_fusion,gndvi_fusion,ndwi_fusion,rvi_fusion,dvi_fusion,evi_fusion,savi_fusion,wdrvi_fusion,yield_tons_per_hectare,temperature_humidity_interaction,water_stress_index,vegetation_health
2021-02-24,FARM0001,A,-7.505018,112.018029,306,1,56,11333,348.76,3.12,25.13,30.1,3.3,76.1,15.1,0.7399,0.6625,0.7185,6.6907,0.5215,0.7422,0.6493,0.1446,0.7346,0.6522,0.6894,6.5347,0.4884,0.6933,0.6289,0.133,0.7373,0.6573,0.704,6.6127,0.505,0.7178,0.6391,0.1388,115.49,2290.61,0.296,0.6973
2022-03-21,FARM0001,A,-7.505018,112.018029,306,2,48,10717,333.02,3.3,29.43,30.6,11.3,70.7,16.6,0.6967,0.6824,0.6688,5.5951,0.4894,0.702,0.6105,0.0562,0.6739,0.6438,0.6162,5.1339,0.4497,0.6614,0.5779,0.0132,0.6853,0.6631,0.6425,5.3645,0.4695,0.6817,0.5942,0.0347,115.45,2163.42,0.3575,0.6742
2023-06-14,FARM0001,A,-7.505018,112.018029,306,3,56,10114,331.58,3.15,41.76,30.1,1.1,75.9,13.7,0.71,0.6631,0.7022,5.8963,0.4746,0.693,0.6093,0.0823,0.7009,0.6431,0.6118,5.6868,0.4614,0.6729,0.5975,0.0643,0.7054,0.6531,0.657,5.7915,0.468,0.683,0.6034,0.0733,116.61,2284.59,0.343,0.67925
2024-08-07,FARM0001,A,-7.505018,112.018029,306,4,52,10497,276.99,2.45,18.6,26.3,4.7,81.2,16.1,0.7198,0.682,0.722,6.138,0.5185,0.7029,0.6373,0.1022,0.701,0.6823,0.6053,5.69,0.4477,0.6578,0.5898,0.0645,0.7104,0.6821,0.6637,5.914,0.4831,0.6803,0.6135,0.0834,113.85,2135.56,0.3363,0.69625
2021-01-25,FARM0002,A,-7.503585,112.010222,235,1,52,10101,347.52,2.72,21.05,27.8,7.3,88.1,14.1,0.7761,0.6953,0.7278,7.9325,0.5547,0.8298,0.685,0.2268,0.7382,0.669,0.7116,6.6382,0.504,0.7122,0.6392,0.1408,0.7571,0.6821,0.7197,7.2854,0.5294,0.771,0.6621,0.1838,115.27,2449.18,0.2803,0.7196
2022-02-19,FARM0002,A,-7.503585,112.010222,235,2,48,10837,307.2,3.11,25.13,31.3,0.6,76.9,15.5,0.7261,0.6881,0.6801,6.3027,0.5368,0.7686,0.6498,0.1153,0.7321,0.6922,0.6838,6.4643,0.4633,0.7349,0.6134,0.1277,0.7291,0.6901,0.682,6.3835,0.5001,0.7518,0.6316,0.1215,117.22,2406.97,0.3179999999999999,0.7096
2023-04-15,FARM0002,A,-7.503585,112.010222,235,3,52,10645,297.65,2.52,12.61,32.9,0.8,82.9,13.7,0.7401,0.646,0.7204,6.6942,0.5436,0.7525,0.6605,0.1449,0.675,0.6301,0.6519,5.1534,0.4444,0.6053,0.5754,0.0151,0.7075,0.638,0.6861,5.9238,0.494,0.6789,0.618,0.08,115.14,2727.41,0.3139,0.67275
2024-06-08,FARM0002,A,-7.503585,112.010222,235,4,52,9800,281.56,2.95,22.85,32.2,5.0,82.8,13.3,0.6697,0.6502,0.7085,5.0556,0.4702,0.6172,0.5867,0.0055,0.7925,0.7256,0.6732,8.6372,0.5361,0.8356,0.6835,0.2667,0.7311,0.6879,0.6909,6.8464,0.5032,0.7264,0.6351,0.1361,115.7,2666.16,0.3091,0.7095
2021-02-24,FARM0003,A,-7.511029,112.008487,597,1,56,11033,379.43,2.86,26.15,34.4,16.5,85.9,15.0,0.7259,0.7068,0.7252,6.2957,0.528,0.7818,0.6453,0.1147,0.6997,0.6964,0.5973,5.661,0.4466,0.6953,0.5886,0.062,0.7128,0.7016,0.6612,5.9784,0.4873,0.7386,0.6169,0.0884,112.77,2954.96,0.3388,0.7072
2022-03-21,FARM0003,A,-7.511029,112.008487,597,2,48,10098,354.74,3.3,30.13,32.1,8.3,86.9,16.7,0.7344,0.6396,0.7046,6.5308,0.4887,0.7398,0.629,0.1328,0.7459,0.6425,0.6528,6.8699,0.4866,0.7007,0.6334,0.1575,0.7401,0.6411,0.6787,6.7004,0.4877,0.7202,0.6312,0.1451,115.24,2789.49,0.3213,0.6906
