slno,district_name,kharif_areabefore_bund_correction_factor,kharif_areaafter_bund_correction_factor,kharif_yield,kharif_production,rabi_areabefore_bund_correction_factor,rabi_areaafter_bund_correction_factor,rabi_yield,rabi_production,summer_areabefore_bund_correction_factor,summer_areaafter_bund_correction_factor,summer_yield,summer_production,all_seasons_areabefore_bund_correction_factor,all_seasons_areaafter_bund_correction_factor,all_seasons_yield,all_seasons_production
1.0,BAGALKOTE,109357,107170,86,9216637,0,0,0,0,0,0,0,0,109357,107170,86,9216637
2.0,BENGALURU - URBAN,30,29,96,2822,0,0,0,0,0,0,0,0,30,29,96,2822
3.0,BENGALURU - RURAL,119,117,96,11196,0,0,0,0,0,0,0,0,119,117,96,11196
4.0,BELAGAVI,277275,271730,96,26086055,0,0,0,0,0,0,0,0,277275,271730,96,26086055
5.0,BALLARI,9957,9758,96,936783,0,0,0,0,0,0,0,0,9957,9758,96,936783
6.0,BIDAR,15940,15621,88,1374664,0,0,0,0,0,0,0,0,15940,15621,88,1374664
7.0,VIJAYAPURA,79625,78033,101,7881283,0,0,0,0,0,0,0,0,79625,78033,101,7881283
8.0,CHAMARAJANAGAR,10476,10266,94,965049,0,0,0,0,0,0,0,0,10476,10266,94,965049
9.0,CHICKBALLAPUR,155,152,96,14582,0,0,0,0,0,0,0,0,155,152,96,14582
10.0,CHIKMAGALUR,227,222,101,22468,0,0,0,0,0,0,0,0,227,222,101,22468
11.0,CHITRADURGA,61,60,96,5739,0,0,0,0,0,0,0,0,61,60,96,5739
12.0,DAKSHINA KANNADA,4,4,96,376,0,0,0,0,0,0,0,0,4,4,96,376
13.0,DAVANAGERE,1337,1310,108,141508,0,0,0,0,0,0,0,0,1337,1310,108,141508
14.0,DHARWAD,8426,8258,92,759723,0,0,0,0,0,0,0,0,8426,8258,92,759723
15.0,GADAG,2143,2100,42,88218,0,0,0,0,0,0,0,0,2143,2100,42,88218
16.0,KALBURGI,46050,45129,96,4332426,0,0,0,0,0,0,0,0,46050,45129,96,4332426
17.0,HASSAN,3492,3422,92,314801,0,0,0,0,0,0,0,0,3492,3422,92,314801
18.0,HAVERI,11202,10978,87,955062,0,0,0,0,0,0,0,0,11202,10978,87,955062
19.0,KODAGU,1,1,96,107,0,0,0,0,0,0,0,0,1,1,96,107
20.0,KOLAR,11,11,96,1035,0,0,0,0,0,0,0,0,11,11,96,1035
21.0,KOPPAL,2094,2052,96,196966,0,0,0,0,0,0,0,0,2094,2052,96,196966
22.0,MANDYA,41221,40397,118,4766810,0,0,0,0,0,0,0,0,41221,40397,118,4766810
23.0,MYSURU,15019,14719,113,1663192,0,0,0,0,0,0,0,0,15019,14719,113,1663192
24.0,RAICHUR,1400,1372,96,131707,0,0,0,0,0,0,0,0,1400,1372,96,131707
25.0,RAMANAGARAM,292,286,65,18571,0,0,0,0,0,0,0,0,292,286,65,18571
26.0,SHIVAMOGGA,820,804,136,109290,0,0,0,0,0,0,0,0,820,804,136,109290
27.0,TUMAKURU,458,449,104,46644,0,0,0,0,0,0,0,0,458,449,104,46644
28.0,UDUPI,13,13,96,1217,0,0,0,0,0,0,0,0,13,13,96,1217
29.0,UTTARA KANNADA,11914,11676,92,1074190,0,0,0,0,0,0,0,0,11914,11676,92,1074190
30.0,YADGIR,880,862,96,82765,0,0,0,0,0,0,0,0,880,862,96,82765
,State Total,649999,636999,96,61201885,0,0,0,0,0,0,0,0,649999,636999,96,61201885
