date,farm_id,farm_name,latitude,longitude,altitude,farm_rotun,planting_cycle,growth_stage,rotun_tebu,temperature,light_intensity,relative_humidity,precipitation,variety,ndvi_l8,gndvi_l8,ndwi_l8,mcari_l8,rvi_l8,dvi_l8,evi_l8,savi_l8,ndvi_s2,gndvi_s2,ndwi_s2,ndre_s2,reci_s2,ccci_s2,rvi_s2,dvi_s2,evi_s2,savi_s2,wdrvi_s2,ndvi_fusion,gndvi_fusion,ndwi_fusion,rvi_fusion,dvi_fusion,evi_fusion,savi_fusion,temp_humidity_interaction,water_stress_index,climate_index,ketinggian_tebu,vegetation_health_l8,vegetation_health_s2,vegetation_health_fusion,ndvi_temp_l8,ndvi_temp_s2,ndvi_temp_fusion
2022-01-01,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,establishment,2,23.8,16.2,72.2,19.2,1,0.232,0.228,0.074,0.829,2.24,0.076,0.193,0.161,0.211,0.222,0.059,0.2,1.571,0.699,2.656,0.076,0.174,0.165,-0.005,0.219,0.225,0.066,2.49,0.076,0.182,0.163,17.17,0.776,0.409,25.3,0.195333333,0.183333333,0.188,5.5216,5.0218,5.2122
2022-01-08,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,establishment,2,22.0,14.9,73.7,27.9,1,0.214,0.226,0.105,0.686,2.581,0.063,0.177,0.143,0.199,0.228,0.117,0.193,1.715,0.854,1.887,0.068,0.151,0.204,0.005,0.205,0.228,0.112,2.164,0.066,0.162,0.18,16.21,1.215,0.406,26.8,0.178,0.184666667,0.182333333,4.708,4.378,4.51
2022-01-15,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,establishment,2,23.9,14.3,77.2,27.0,1,0.258,0.239,0.114,0.885,2.302,0.089,0.173,0.202,0.275,0.252,0.113,0.236,1.903,0.879,2.561,0.114,0.225,0.285,-0.02,0.269,0.247,0.113,2.458,0.104,0.204,0.252,18.5,1.083,0.424,29.3,0.211,0.261666667,0.241666667,6.1662,6.5725,6.4291
2022-01-22,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,establishment,2,23.8,15.0,78.2,15.8,1,0.342,0.319,0.057,0.834,2.93,0.123,0.258,0.321,0.349,0.329,0.047,0.235,1.84,0.829,2.75,0.131,0.286,0.316,0.016,0.346,0.325,0.052,2.822,0.128,0.275,0.318,18.64,0.636,0.429,31.9,0.307,0.317,0.313,8.1396,8.3062,8.2348
2022-01-29,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,establishment,2,23.5,16.2,76.1,2.5,1,0.355,0.339,-0.003,0.882,2.706,0.149,0.278,0.327,0.36,0.327,0.015,0.261,2.09,0.923,3.058,0.122,0.31,0.375,0.025,0.358,0.332,0.007,2.917,0.133,0.297,0.356,17.88,0.101,0.424,34.2,0.32,0.348333333,0.337,8.3425,8.46,8.413
2022-02-05,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,establishment,2,24.5,15.1,79.5,12.0,1,0.354,0.346,0.046,1.007,2.449,0.121,0.307,0.288,0.362,0.359,0.022,0.25,1.987,1.179,2.405,0.123,0.31,0.339,0.044,0.359,0.354,0.033,2.423,0.122,0.309,0.319,19.49,0.472,0.437,37.7,0.316333333,0.337,0.329,8.673,8.869,8.7955
2022-02-12,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,establishment,2,23.7,14.4,80.2,26.4,1,0.406,0.38,0.159,0.963,2.457,0.149,0.295,0.385,0.428,0.372,0.173,0.278,2.178,1.413,2.838,0.152,0.329,0.378,0.056,0.419,0.375,0.167,2.686,0.151,0.316,0.381,19.01,1.069,0.435,42.2,0.362,0.378333333,0.372,9.6222,10.1436,9.9303
2022-02-19,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,establishment,2,25.0,16.4,87.7,16.6,1,0.438,0.41,0.051,0.989,2.827,0.16,0.364,0.392,0.43,0.395,0.044,0.288,2.059,0.943,2.947,0.162,0.33,0.399,0.058,0.433,0.401,0.047,2.899,0.161,0.344,0.396,21.92,0.639,0.475,47.1,0.398,0.386333333,0.391,10.95,10.75,10.825
2022-02-26,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,establishment,2,25.2,16.0,76.6,35.3,1,0.46,0.453,0.136,1.276,3.122,0.172,0.397,0.431,0.461,0.461,0.124,0.276,1.956,1.173,3.568,0.155,0.395,0.391,0.058,0.46,0.458,0.13,3.39,0.162,0.396,0.407,19.31,1.348,0.43,54.0,0.429333333,0.415666667,0.421,11.592,11.6172,11.592
2022-03-05,MLG001,Jambearjo Farm,-8.075307,112.650801,450,2,C1,tillering,2,25.9,14.6,84.1,3.8,1,0.476,0.451,0.122,1.031,2.382,0.168,0.361,0.45,0.469,0.45,0.129,0.301,1.823,1.119,2.895,0.168,0.429,0.44,0.048,0.472,0.45,0.126,2.69,0.168,0.402,0.444,21.74,0.14,0.458,60.2,0.429,0.446,0.439333333,12.3284,12.1471,12.2248
