slno,district_name,kharif_areabefore_bund_correction_factor,kharif_areaafter_bund_correction_factor,kharif_yield,kharif_production,rabi_areabefore_bund_correction_factor,rabi_areaafter_bund_correction_factor,rabi_yield,rabi_production,summer_areabefore_bund_correction_factor,summer_areaafter_bund_correction_factor,summer_yield,summer_production,all_seasons_areabefore_bund_correction_factor,all_seasons_areaafter_bund_correction_factor,all_seasons_yield,all_seasons_production
1.0,BAGALKOTE,15692,15378,0,0,65461,64152,0,0,54405,53317,0,0,135558,132847,0,0
2.0,BENGALURU - URBAN,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
3.0,BENGALURU - RURAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,BELAGAVI,3683,3609,0,0,148008,145048,0,0,70177,68774,0,0,221868,217431,0,0
5.0,BALLARI,888,870,0,0,241,236,0,0,590,578,0,0,1719,1684,0,0
6.0,BIDAR,1721,1687,0,0,1392,1364,0,0,4261,4176,0,0,7374,7227,0,0
7.0,VIJAYAPURA,9621,9429,0,0,12495,12245,0,0,18509,18139,0,0,40625,39813,0,0
8.0,CHAMARAJANAGAR,1143,1120,0,0,325,319,0,0,103,100,0,0,1571,1539,0,0
9.0,CHICKBALLAPUR,22,22,0,0,5,5,0,0,27,26,0,0,54,53,0,0
10.0,CHIKMAGALUR,21,21,0,0,4,4,0,0,0,0,0,0,25,25,0,0
11.0,CHITRADURGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,DAKSHINA KANNADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,DAVANAGERE,212,208,0,0,286,280,0,0,143,140,0,0,641,628,0,0
14.0,DHARWAD,244,239,0,0,33,32,0,0,3073,3012,0,0,3350,3283,0,0
15.0,GADAG,379,371,0,0,819,803,0,0,1058,1037,0,0,2256,2211,0,0
16.0,KALBURGI,2984,2924,0,0,131,128,0,0,55,54,0,0,3170,3107,0,0
17.0,HASSAN,94,92,0,0,613,601,0,0,2,2,0,0,709,695,0,0
18.0,HAVERI,1003,983,0,0,2758,2703,0,0,7578,7426,0,0,11339,11112,0,0
19.0,KODAGU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,KOLAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,KOPPAL,114,112,0,0,31,30,0,0,0,0,0,0,145,142,0,0
22.0,MANDYA,6691,6557,0,0,5323,5217,0,0,6233,6108,0,0,18247,17882,0,0
23.0,MYSURU,1913,1875,0,0,1700,1666,0,0,566,555,0,0,4179,4095,0,0
24.0,RAICHUR,22,22,0,0,0,0,0,0,114,112,0,0,136,134,0,0
25.0,RAMANAGARAM,48,47,0,0,63,62,0,0,0,0,0,0,111,109,0,0
26.0,SHIVAMOGGA,20,20,0,0,0,0,0,0,0,0,0,0,20,20,0,0
27.0,TUMAKURU,24,24,0,0,0,0,0,0,0,0,0,0,24,24,0,0
28.0,UDUPI,2,2,0,0,0,0,0,0,7,7,0,0,9,9,0,0
29.0,UTTARA KANNADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,YADGIR,118,116,0,0,18,18,0,0,42,41,0,0,178,174,0,0
,State Total,46659,45726,0,0,239707,234913,0,0,166944,163605,0,0,453310,444244,0,0
