location,latitude,longitude,timestamp,temperature,temp_min,temp_max,pressure,humidity,wind_speed,clouds,weather_description,rain_3h,pop,state,district
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-17 08:30:00,25.55,25.55,27.16,1007,89,3.05,48,light rain,0.99,97.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-17 11:30:00,29.59,29.59,32.02,1007,74,2.17,38,scattered clouds,0.0,75.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-17 14:30:00,33.81,33.81,33.81,1005,57,0.87,53,broken clouds,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-17 17:30:00,31.7,31.7,31.7,1003,71,2.92,43,scattered clouds,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-17 20:30:00,22.68,22.68,22.68,1006,89,3.91,41,moderate rain,3.73,100.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-17 23:30:00,23.82,23.82,23.82,1008,93,3.66,71,broken clouds,0.0,80.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-18 02:30:00,23.9,23.9,23.9,1007,93,0.46,100,overcast clouds,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-18 05:30:00,23.1,23.1,23.1,1008,95,1.24,97,overcast clouds,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-18 08:30:00,25.89,25.89,25.89,1009,81,0.76,87,overcast clouds,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-18 11:30:00,30.21,30.21,30.21,1009,64,2.29,68,broken clouds,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-18 14:30:00,31.63,31.63,31.63,1007,58,1.97,8,clear sky,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-18 17:30:00,30.33,30.33,30.33,1006,69,0.82,7,clear sky,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-18 20:30:00,27.35,27.35,27.35,1008,73,2.34,4,clear sky,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-18 23:30:00,25.88,25.88,25.88,1008,80,1.89,4,light rain,0.41,21.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-19 02:30:00,24.24,24.24,24.24,1008,85,1.86,0,light rain,0.33,49.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-19 05:30:00,23.19,23.19,23.19,1009,90,1.37,0,light rain,0.51,100.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-19 08:30:00,26.7,26.7,26.7,1011,78,1.3,0,clear sky,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-19 11:30:00,31.7,31.7,31.7,1011,59,1.09,0,clear sky,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-19 14:30:00,33.25,33.25,33.25,1008,51,1.0,0,clear sky,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-19 17:30:00,30.88,30.88,30.88,1008,63,1.58,0,clear sky,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-19 20:30:00,26.55,26.55,26.55,1010,73,2.28,0,clear sky,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-19 23:30:00,23.88,23.88,23.88,1011,84,2.11,0,light rain,0.56,38.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-20 02:30:00,23.79,23.79,23.79,1011,87,1.55,0,clear sky,0.0,0.0,Uttar Pradesh,Muzaffarnagar
"Muzaffarnagar, Uttar Pradesh",29.4727,77.7085,2026-09-20 05:30:00,23.34,23.34,23.34,1011,91,2.15,0,light rain,0.37,20.0,Uttar Pradesh,Muzaffarnagar
