state,variety,area_hectare,soil_type,soil_ph,soil_moisture,rainfall_mm,temperature_c,humidity_pct,growth_stage,historical_yield,yield
Andaman And Nicobar Islands,Co 86032,1.0,Alluvial Soil,6.77,58.7,1400.0,31.4,70.9,Planting,45.0,2.0
Andaman And Nicobar Islands,Co 86032,1.0,Alluvial Soil,7.4,53.8,1400.0,31.4,66.4,Germination,45.0,1.0
Andaman And Nicobar Islands,Co 86032,5.0,Alluvial Soil,6.32,61.9,1400.0,31.4,74.1,Tillering,45.0,8.0
Andaman And Nicobar Islands,Co 86032,0.2,Alluvial Soil,6.64,44.2,1400.0,31.4,65.8,Grand Growth,45.0,2.5
Andaman And Nicobar Islands,Co 86032,13.4,Alluvial Soil,7.87,57.7,1400.0,31.4,71.3,Maturity,45.0,3.12
Andaman And Nicobar Islands,Co 86032,1.0,Alluvial Soil,6.95,62.7,1400.0,31.4,66.3,Harvest,91.76,100.0
Andaman And Nicobar Islands,Co 86032,6.6,Alluvial Soil,6.79,53.8,1400.0,31.4,68.5,Maturity,233.33,56.06
Andaman And Nicobar Islands,Co 86032,6.0,Clay Loam,6.9,64.8,1400.0,31.4,72.1,Germination,1144.14,200.0
Andaman And Nicobar Islands,Co 86032,18.43,Alluvial Soil,7.2,43.9,1400.0,31.4,62.3,Tillering,200.0,146.5
Andaman And Nicobar Islands,Co 86032,17.0,Clay Loam,6.61,67.2,1400.0,31.4,68.7,Grand Growth,146.5,77.65
Andaman And Nicobar Islands,Co 86032,1.0,Alluvial Soil,7.33,48.9,1400.0,31.4,66.6,Planting,405.41,200.0
Andaman And Nicobar Islands,Co 86032,141.0,Alluvial Soil,6.84,54.7,1400.0,31.4,70.9,Germination,45.0,26.5
Andaman And Nicobar Islands,Co 86032,81.0,Black Soil,7.6,74.4,1400.0,31.4,73.7,Tillering,26.5,29.37
Andaman And Nicobar Islands,Co 86032,71.3,Alluvial Soil,7.33,55.1,1400.0,31.4,65.1,Grand Growth,29.37,21.04
Andaman And Nicobar Islands,Co 86032,73.33,Clay Loam,6.77,62.4,1400.0,31.4,68.4,Maturity,21.04,12.13
Andaman And Nicobar Islands,Co 86032,455.0,Alluvial Soil,6.74,58.8,1400.0,31.4,73.5,Planting,45.0,30.24
Andaman And Nicobar Islands,Co 86032,268.0,Alluvial Soil,7.39,66.0,1400.0,31.4,73.3,Germination,30.24,10.74
Andaman And Nicobar Islands,Co 86032,145.26,Alluvial Soil,7.2,61.9,1400.0,31.4,56.2,Tillering,45.0,10.74
Andaman And Nicobar Islands,Co 86032,128.02,Alluvial Soil,7.13,57.6,1400.0,31.4,67.8,Grand Growth,45.0,19.12
Andaman And Nicobar Islands,Co 86032,53.5,Alluvial Soil,6.5,53.9,1400.0,31.4,76.7,Maturity,45.0,18.68
Andaman And Nicobar Islands,Co 86032,67.5,Alluvial Soil,6.86,62.5,1400.0,31.4,66.8,Harvest,45.0,5.96
Andhra Pradesh,Co 86032,700.0,Clay Loam,6.99,74.8,1400.0,31.4,69.8,Grand Growth,108.86,104.14
Andhra Pradesh,Co 86032,700.0,Black Soil,7.7,63.8,1400.0,31.4,62.7,Maturity,104.14,94.14
Andhra Pradesh,Co 86032,884.0,Clay Loam,6.76,68.1,1400.0,31.4,79.0,Harvest,94.14,94.03
Andhra Pradesh,Co 86032,284.0,Clay Loam,6.71,70.8,1400.0,31.4,66.7,Planting,94.03,89.42
Andhra Pradesh,Co 86032,490.0,Clay Loam,6.49,68.8,1400.0,31.4,69.2,Germination,89.42,86.67
Andhra Pradesh,Co 86032,329.0,Clay Loam,7.2,66.3,1400.0,31.4,74.3,Tillering,86.67,68.33
Andhra Pradesh,Co 86032,454.0,Clay Loam,6.88,75.4,1400.0,31.4,76.5,Grand Growth,68.33,71.33
Andhra Pradesh,Co 86032,400.0,Clay Loam,7.45,64.4,1400.0,31.4,59.6,Maturity,71.33,85.18
Andhra Pradesh,Co 86032,227.0,Clay Loam,6.95,65.3,1400.0,31.4,72.9,Harvest,85.18,90.8
Andhra Pradesh,Co 86032,339.0,Clay Loam,6.89,72.1,1400.0,31.4,70.4,Planting,90.8,91.26
Andhra Pradesh,Co 86032,131.0,Clay Loam,7.05,69.5,1400.0,31.4,79.0,Germination,91.26,93.93
Andhra Pradesh,Co 86032,112.0,Clay Loam,6.47,62.6,1400.0,31.4,69.6,Tillering,93.93,89.0
Andhra Pradesh,Co 86032,235.0,Clay Loam,7.03,68.0,1400.0,31.4,72.4,Grand Growth,89.0,89.28
Andhra Pradesh,Co 86032,410.0,Clay Loam,6.68,73.9,1400.0,31.4,67.7,Maturity,89.28,95.58
Andhra Pradesh,Co 86032,76.0,Clay Loam,6.56,84.2,1400.0,31.4,76.1,Harvest,95.58,91.5
Andhra Pradesh,Co 86032,281.0,Clay Loam,6.97,61.6,1400.0,31.4,73.2,Planting,91.5,94.32
Andhra Pradesh,Co 86032,30.0,Clay Loam,6.53,76.3,1400.0,31.4,72.4,Germination,94.32,81.87
