state_name,district_name,year,season,area_hectare,yield_t_ha,yield_tons_per_hectare,state,district,yield,prev_year_yield,yield_3yr_avg,yield_5yr_avg,ndvi_region,region,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,variety,rainfall_mm,temperature_c,sunlight_hours,soil_nitrogen,soil_phosphorus,soil_potassium,crop_duration_days,irrigation_frequency
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Kharif,106.5,1999.061033,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1999.061033,,1999.061033,1999.061033,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Rabi,70.93,2000.563936,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,2000.563936,1999.061033,1999.8124845,1999.8124845,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Autumn,117.0,1931.623932,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1931.623932,2000.563936,1977.082967,1977.082967,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Summer,39.0,1948.717949,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1948.717949,1931.623932,1960.301939,1969.9917125,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Autumn,113.0,1424.778761,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1424.778761,1948.717949,1768.3735473333334,1860.9491222000001,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Summer,28.0,1417.857143,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1417.857143,1424.778761,1597.1179510000002,1744.7083441999998,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Whole Year,1.0,2.0,,Andaman And Nicobar Islands,Nicobars,2.0,,2.0,2.0,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Whole Year,1.0,1.0,,Andaman And Nicobar Islands,Nicobars,1.0,2.0,1.5,1.5,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Whole Year,5.0,8.0,,Andaman And Nicobar Islands,Nicobars,8.0,1.0,3.6666666666666665,3.6666666666666665,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Whole Year,0.2,2.5,,Andaman And Nicobar Islands,Nicobars,2.5,8.0,3.8333333333333335,3.375,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Autumn,13.4,3.115671642,,Andaman And Nicobar Islands,Nicobars,3.115671642,2.5,4.538557214,3.3231343283999997,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Whole Year,1.0,100.0,,Andaman And Nicobar Islands,Nicobars,100.0,3.115671642,35.205223880666665,22.9231343284,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Whole Year,5.0,800.0,,Andaman And Nicobar Islands,Nicobars,800.0,100.0,301.03855721400004,182.72313432840002,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Whole Year,0.2,250.0,,Andaman And Nicobar Islands,Nicobars,250.0,800.0,383.3333333333333,231.1231343284,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Autumn,13.4,311.5671642,,Andaman And Nicobar Islands,Nicobars,311.5671642,250.0,453.8557214,292.9365671684,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Autumn,4.5,233.3333333,,Andaman And Nicobar Islands,Nicobars,233.3333333,311.5671642,264.9668325,338.9800995,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Autumn,6.6,56.06060606,,Andaman And Nicobar Islands,Nicobars,56.06060606,233.3333333,200.32036785333332,330.192220712,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Autumn,11.0,3394.545455,,Andaman And Nicobar Islands,Nicobars,3394.545455,56.06060606,1227.97979812,849.1013117120001,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Autumn,22.2,1144.144144,,Andaman And Nicobar Islands,Nicobars,1144.144144,3394.545455,1531.5834016866665,1027.930140512,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
Andaman and Nicobar Islands,NICOBARS,,Autumn,6.0,200.0,,Andaman And Nicobar Islands,Nicobars,200.0,1144.144144,1579.5631996666664,1005.6167076720001,,,,,,,Co 86032,1400.0,31.39,8.186666666666666,170.63333333333333,62.733333333333334,79.03333333333333,372.53333333333336,3.2
