state_name,district_name,year,season,area_hectare,yield_t_ha,yield_tons_per_hectare,state,district,yield,ndvi_region,source_region,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,variety,prev_year_yield,yield_3yr_avg,historical_avg_yield
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Kharif,106.5,1999.061033,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1999.061033,,,,,,,Co 86032,,1999.061033,1787.100459
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Rabi,70.93,2000.563936,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,2000.563936,,,,,,,Co 86032,1999.061033,1999.8124845,1787.100459
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Autumn,117.0,1931.623932,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1931.623932,,,,,,,Co 86032,2000.563936,1977.082967,1787.100459
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Summer,39.0,1948.717949,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1948.717949,,,,,,,Co 86032,1931.623932,1960.301939,1787.100459
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Autumn,113.0,1424.778761,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1424.778761,,,,,,,Co 86032,1948.717949,1768.3735473333334,1787.100459
Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Summer,28.0,1417.857143,,Andaman And Nicobar Islands,Andaman And Nicobar Islands,1417.857143,,,,,,,Co 86032,1424.778761,1597.1179510000002,1787.100459
Andaman and Nicobar Islands,NICOBARS,,Whole Year,1.0,2.0,,Andaman And Nicobar Islands,Nicobars,2.0,,,,,,,Co 86032,,2.0,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Whole Year,1.0,1.0,,Andaman And Nicobar Islands,Nicobars,1.0,,,,,,,Co 86032,2.0,1.5,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Whole Year,5.0,8.0,,Andaman And Nicobar Islands,Nicobars,8.0,,,,,,,Co 86032,1.0,3.6666666666666665,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Whole Year,0.2,2.5,,Andaman And Nicobar Islands,Nicobars,2.5,,,,,,,Co 86032,8.0,3.8333333333333335,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,13.4,3.115671642,,Andaman And Nicobar Islands,Nicobars,3.115671642,,,,,,,Co 86032,2.5,4.538557214,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Whole Year,1.0,100.0,,Andaman And Nicobar Islands,Nicobars,100.0,,,,,,,Co 86032,3.115671642,35.205223880666665,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Whole Year,5.0,800.0,,Andaman And Nicobar Islands,Nicobars,800.0,,,,,,,Co 86032,100.0,301.03855721400004,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Whole Year,0.2,250.0,,Andaman And Nicobar Islands,Nicobars,250.0,,,,,,,Co 86032,800.0,383.3333333333333,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,13.4,311.5671642,,Andaman And Nicobar Islands,Nicobars,311.5671642,,,,,,,Co 86032,250.0,453.8557214,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,4.5,233.3333333,,Andaman And Nicobar Islands,Nicobars,233.3333333,,,,,,,Co 86032,311.5671642,264.9668325,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,6.6,56.06060606,,Andaman And Nicobar Islands,Nicobars,56.06060606,,,,,,,Co 86032,233.3333333,200.32036785333332,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,11.0,3394.545455,,Andaman And Nicobar Islands,Nicobars,3394.545455,,,,,,,Co 86032,56.06060606,1227.97979812,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,22.2,1144.144144,,Andaman And Nicobar Islands,Nicobars,1144.144144,,,,,,,Co 86032,3394.545455,1531.5834016866665,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,6.0,200.0,,Andaman And Nicobar Islands,Nicobars,200.0,,,,,,,Co 86032,1144.144144,1579.5631996666664,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,18.43,146.5002713,,Andaman And Nicobar Islands,Nicobars,146.5002713,,,,,,,Co 86032,200.0,496.8814717666667,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,17.0,77.64705882,,Andaman And Nicobar Islands,Nicobars,77.64705882,,,,,,,Co 86032,146.5002713,141.38244337333333,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,3.0,333.3333333,,Andaman And Nicobar Islands,Nicobars,333.3333333,,,,,,,Co 86032,77.64705882,185.82688780666663,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Autumn,3.7,405.4054054,,Andaman And Nicobar Islands,Nicobars,405.4054054,,,,,,,Co 86032,333.3333333,272.1285991733333,403.6396022643158
Andaman and Nicobar Islands,NICOBARS,,Whole Year,1.0,200.0,,Andaman And Nicobar Islands,Nicobars,200.0,,,,,,,Co 86032,405.4054054,312.9129129,403.6396022643158
