column,dtype,non_null,null_pct
state_name,object,18454,0.2
district_name,object,18454,0.2
year,float64,0,100.0
season,object,18454,0.2
area_hectare,float64,18454,0.2
yield_t_ha,float64,18486,0.0
yield_tons_per_hectare,float64,0,100.0
state,object,18454,0.2
district,object,18454,0.2
yield,float64,18486,0.0
prev_year_yield,float64,17766,3.9
yield_3yr_avg,float64,18454,0.2
yield_5yr_avg,float64,18454,0.2
ndvi_region,object,471,97.5
region,object,471,97.5
ndvi_mean,float64,471,97.5
ndvi_max,float64,471,97.5
ndvi_min,float64,471,97.5
ndvi_std,float64,471,97.5
variety,object,18486,0.0
rainfall_mm,float64,16802,9.1
temperature_c,float64,16802,9.1
sunlight_hours,float64,16802,9.1
soil_nitrogen,float64,16802,9.1
soil_phosphorus,float64,16802,9.1
soil_potassium,float64,16802,9.1
crop_duration_days,float64,16802,9.1
irrigation_frequency,float64,16802,9.1
